ID,Domain,Title,Risk,Methods,Evidence
CTDL-01,Database & ORM,Wajib Eloquent ORM - dilarang raw query,High,"Code review, Static analysis","Semua akses DB harus via Eloquent. DB::raw()/DB::select() dilarang kecuali aggregasi kompleks. Ref: OWASP ASVS V5, CWE-89"
CTDL-02,Mass Assignment,Mass assignment protection via $guarded,High,"Code review, Static analysis","Semua model HARUS $guarded=[""id""]. Tidak $fillable. Ref: CWE-915"
CTDL-03,XSS Prevention,Blade escaping - dilarang {!! !!} tanpa sanitasi,High,"Code review, Static analysis","Output Blade HARUS {{ }}. {!! !!} hanya untuk HTML dari Citadel renderSchema(). Ref: CWE-79"
CTDL-04,Authentication,Middleware auth pada protected routes,High,"Code review, Config review","Route admin: cek_login+internal_placement. Route API: basic_auth/jwt.verify. Ref: OWASP ASVS V4, CWE-862"
CTDL-05,Validation,Inline validation wajib di controller,Medium,"Code review","Setiap store()/update() HARUS $request->validate([...]). Project tidak pakai Form Request class"
CTDL-06,Citadel Framework,Citadel Page lifecycle pattern wajib,Medium,"Code review","Controller HARUS ikuti: ComponentsPage::make()->view()->business()->schema()->render()"
CTDL-07,Audit Trail,HasCreator trait wajib pada model bisnis,High,"Code review, Static analysis","Model entitas bisnis HARUS trait HasCreator untuk tracking created_by/updated_by. Ref: SOX Compliance"
CTDL-08,Audit Trail,ActivityLogged trait wajib pada model bisnis,Medium,"Code review, Static analysis","Model entitas bisnis HARUS trait ActivityLogged (Spatie) untuk pencatatan perubahan"
CTDL-09,Enum Convention,Enum status dengan label() dan color(),Medium,"Code review","Field status HARUS PHP 8.1 Enum dengan label():string dan color():string. Implement CitadelEnum"
CTDL-10,Database Convention,Custom table name dengan prefix escm_,Low,"Code review","Semua model HARUS $table property eksplisit dengan prefix escm_. Tidak boleh auto naming"
CTDL-11,Authorization,Permission check via checkAccessPermission(),High,"Code review, Static analysis","Setiap controller method bisnis HARUS checkAccessPermission($permission) di awal. Format: feature:action. Ref: OWASP ASVS V4"
CTDL-12,Architecture,Aksi non-CRUD sebagai method tersendiri,Medium,"Code review","Operasi bisnis (propose/release/sync/approve/esign) HARUS method tersendiri bukan generic update"
CTDL-13,Citadel Framework,Schema component harus implement Backbone,High,"Code review","Komponen dalam schema([...]) HARUS implement Backbone interface. Pelanggaran = error BACKBONE[001]"
CTDL-14,Citadel Framework,Makeable pattern untuk factory instantiation,Low,"Code review","Citadel component HARUS via ::make($name $title). Dilarang new ComponentClass() langsung"
CTDL-15,Document Numbering,HasNumbering trait untuk auto-numbering,Medium,"Code review","Model procurement (Tender/PO/PR/Contract) HARUS trait HasNumbering + interface UseNumbering"
WIKA-Q01,Architecture,Tidak ada Observer class - semua di boot method,Low,"Code review","Project TIDAK pakai Observer class. Event handling via boot()/bootTraitName() di trait"
WIKA-Q02,Validation,Tidak ada Form Request class - validasi inline,Medium,"Code review","TIDAK pakai Form Request class. Semua validasi inline $request->validate() di controller"
WIKA-Q03,Mass Assignment,$guarded bukan $fillable,Medium,"Code review","Standar: $guarded=[""id""] bukan $fillable. Semua field selain id bisa mass-assign"
WIKA-Q04,API Response,Response pattern: apiRes() helper untuk JSON,Low,"Code review","Response JSON HARUS apiRes('success'/'error' ...). Form sukses: Citadel Swal::make('success')"
WIKA-Q05,Integration,Sync mechanism mandatory untuk data eksternal,High,"Code review","Data dari SAP/HCMS/VMS/Pengadaan.com HARUS punya sync service dedicated di app/Sync/Service/"
WIKA-Q06,Integration,Sync service harus extend Base,Medium,"Code review","Sync service HARUS extend App\Sync\Service\Base. Implement: fetching() handleResponseForCache() saving()"
WIKA-Q07,Authorization,Scope-based data access multi-tenant,High,"Code review, Static analysis","Akses data procurement HARUS ESCM::scopeProject(auth()->user()). Ref: CWE-639 IDOR"
WIKA-Q08,Logging Security,Password/PIN masking di semua log,High,"Code review, Static analysis","Middleware logging HARUS masking: password password_confirm pass pin. Ref: OWASP LOG-02, CWE-532"
WIKA-Q09,Database Convention,SoftDeletes hanya untuk entitas tertentu,Low,"Code review","SoftDeletes HANYA pada User/Vendor/VendorQuotation. Mayoritas model pakai status flag"
WIKA-Q10,Database Convention,Relationship key menggunakan business key,Medium,"Code review","Beberapa relationship pakai business key (nomor dokumen) bukan surrogate key. Konsistensi SAP"
WIKA-Q11,Workflow,Approval workflow via morphMany pattern,High,"Code review","Model approval HARUS implement ApprovableContract + trait ReleaseStrategyModel. Polymorphic morphMany"
WIKA-Q12,Architecture,Procurement module interface wajib,Medium,"Code review","Entitas procurement HARUS implement ProcurementModule dengan getProcurementNumber() historyModelName()"
